,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
ENSG00000264824.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277872.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,6,5,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
ENSG00000221760.1,32,155,112,25,38,93,45,17,9,18,8,22,20,14,71,31,108,70,550,1035,748,10,9,4,8,6,48,47,23,16,7,152,104,8,7,14,13,9,11,14,80,62,12,14,5,34,20,176,113,16,62,26,12,16,13,14,5,23,23,20,3,9,16,16,4,32
ENSG00000264073.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000283225.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000276162.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000280968.1,73,60,46,4,12,28,14,7,4,5,2,7,5,10,48,60,18,15,51,41,53,24,28,82,8,10,10,13,34,41,6,55,34,22,65,215,9,7,15,4,154,65,12,31,10,20,32,668,404,63,204,122,25,14,10,13,28,46,9,7,22,51,21,15,17,20
ENSG00000275818.1,3,17,7,1,0,5,1,0,0,0,0,0,0,3,0,14,8,9,3,11,7,6,3,4,1,0,2,5,1,2,0,3,1,2,9,7,0,0,0,0,12,3,2,12,8,1,4,12,8,12,25,16,5,5,6,7,8,13,1,1,3,7,4,7,6,20
ENSG00000264661.3,23,275,294,59,80,501,344,36,41,38,35,65,150,210,479,11,65,30,3,31,33,214,234,169,27,10,111,117,29,29,8,10,13,30,213,157,19,25,30,17,199,114,180,260,11,38,32,2346,1617,535,1970,1214,109,90,28,54,363,476,8,7,22,443,17,29,99,151
ENSG00000264141.1,24,181,53,0,0,7,5,2,5,0,2,1,32,36,55,19,33,17,10,10,13,14,19,8,58,25,7,2,42,43,14,9,1,26,31,30,9,0,10,0,75,10,26,39,15,14,18,72,59,30,293,173,67,54,26,84,23,57,10,15,5,12,18,41,5,8
