,ENCFF697HYA,ENCFF343RGE,ENCFF652ODI,ENCFF375BRV,ENCFF985RQJ,ENCFF330FJJ,ENC4_96,ENCFF404KPA,ENCFF849AXD,ENCFF165FED,ENCFF379DIZ,ENCFF851ANC,ENCFF572XTJ,ENCFF154DXX,ENCFF025FWJ,ENCFF029ISG,ENCFF161OLK,ENCFF671ZNH,ENCFF445FDO,ENCFF721EFA,ENCFF467CBW,ENCFF102FBO,ENCFF806AZX,ENCFF493QIX,ENCFF019UKW,ENCFF416PRK,ENCFF249CRJ,ENCFF412MPY,ENCFF012JGW,ENCFF242CUN,ENCFF827ROM,ENCFF862HPX,ENCFF378UCJ,ENCFF221TXA,ENCFF585ZQW,ENCFF065WRR,ENCFF956BAL,ENCFF385QZD,ENCFF498GDT,ENCFF991OTZ,ENCFF520TSX,ENCFF174IVI,ENCFF993DXL,ENCFF584KCO,ENCFF156WYO,ENCFF596SHW,ENCFF045TDA,ENCFF576ASU,ENC4_100,ENCFF820WYV,ENCFF588XBZ,ENC4_98,ENCFF971DKB,ENCFF544EMI,ENCFF042BAS,ENCFF317BBO,ENCFF495VKU,ENCFF376TSX,ENCFF123PWO,ENCFF723WVP,ENCFF118WQY,ENCFF243NHM,ENCFF076HOW,ENCFF686YKV,ENCFF813YRI,ENCFF766VLD
MIR7846,4,108,33,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,10,9,0,0,0,1,0,0,0,1,1,4,0,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,7,0,1,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
MIR612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7,5,0,0
MIR4453,0,40,12,0,2,2,1,1,0,0,0,2,1,0,1,2,4,0,4,1,2,0,0,0,1,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,1,0,12,8,0,1,0,1,1,3,0,0,0,0,0,0,0,0
MIR6861,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,2,6,0,0,0,0,0,3,2,1,0,0,0,11,9,2,26,17,1,5,0,0,3,3,2,0,0,1,1,0,1,1
MIR4426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR6510,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,23,4,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,2,3,0,0,0,0,0,0,0,1,1,0,34,222
MIR29B1,614,320,147,12,21,95,57,48,26,1,4,16,1051,1428,1376,248,676,338,126,9,21,40,39,40,1950,1970,3,3,2186,1205,1969,34,19,765,636,1023,3,1,0,0,544,726,30,51,14,34,35,192,142,9,66,36,65,59,516,848,8,3,8,7,31,1,266,245,1,16
MIR630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MIR1302-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
